group,author,book,chunk_id,word_count,n_words,n_sentences,yules_k,simpsons_d,ttr,mattr_100,mean_word_length,mean_sentence_length,std_sentence_length,function_word_ratio,stopword_ratio,mean_dependency_distance,mean_tree_depth,mean_branching_factor
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_027,1000,952,59,87.10101687733918,0.008719260574892418,0.5903361344537815,0.7880187573270809,5.301470588235294,16.135593220338983,10.113688705134285,0.40336134453781514,0.4495798319327731,2.5060908084163898,4.372881355932203,1.088235294117647
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_028,1000,971,46,106.25333433739092,0.010636287385732638,0.5736354273944387,0.7753211009174311,5.31513903192585,21.108695652173914,13.69739464415796,0.42018537590113286,0.45211122554067973,2.9935483870967743,4.695652173913044,1.114315139031926
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_029,1000,958,56,88.41052819679133,0.008850291119386218,0.6064718162839249,0.7979045401629803,5.39874739039666,17.107142857142858,11.101284628733886,0.40605427974947805,0.4373695198329854,2.710065645514223,4.303571428571429,1.1085594989561587
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_030,1000,947,65,80.24005111456286,0.008032487146457825,0.5923970432946146,0.8023584905660377,5.3980992608236535,14.569230769230769,9.812032222295285,0.40549102428722283,0.44561774023231254,2.659217877094972,3.7846153846153845,1.0992608236536432
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_031,1000,956,56,94.0984926734476,0.00941970251265088,0.5711297071129707,0.7959976662777131,5.2824267782426775,17.071428571428573,12.686969049913749,0.40376569037656906,0.4372384937238494,2.70939226519337,4.196428571428571,1.098326359832636
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_032,1000,959,56,80.20172211886513,0.008028543999164056,0.5860271115745568,0.7995581395348839,5.417101147028155,17.125,12.152399087070362,0.40145985401459855,0.43899895724713245,2.6550218340611353,4.178571428571429,1.0521376433785192
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_033,1000,952,70,97.31833910034602,0.009742067173872705,0.5997899159663865,0.8057913247362252,5.407563025210084,13.6,9.229455950534525,0.40336134453781514,0.43907563025210083,2.4448160535117056,3.8142857142857145,1.0577731092436975
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_034,1000,943,58,105.61721182705857,0.010572933200946521,0.5662778366914104,0.7695616113744076,5.23966065747614,16.25862068965517,12.823147637724611,0.43478260869565216,0.46659597030752914,2.9966442953020134,3.8793103448275863,1.127253446447508
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_035,1000,957,53,90.05851401268113,0.009015271747922158,0.599791013584117,0.8014219114219114,5.397074190177639,18.056603773584907,11.858306688657109,0.40752351097178685,0.4346917450365726,2.835706462212486,4.433962264150943,1.0950888192267503
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_036,1000,964,65,78.53256658804084,0.007861411650142406,0.5778008298755186,0.7893872832369941,5.285269709543568,14.830769230769231,11.567287070766197,0.4211618257261411,0.45954356846473027,2.753005464480874,3.8,1.0964730290456433
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_037,1000,916,88,86.81184569325528,0.008690672202734626,0.5622270742358079,0.77734394124847,5.156113537117904,10.409090909090908,8.401347786403035,0.41593886462882096,0.44541484716157204,2.461176470588235,3.2613636363636362,1.0851528384279476
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_038,1000,952,65,114.04561824729892,0.011416554003304791,0.5483193277310925,0.7597420867526378,5.264705882352941,14.646153846153846,9.601972184009139,0.41491596638655465,0.44537815126050423,2.4266517357222845,4.030769230769231,1.1050420168067228
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_039,1000,951,72,100.11045985132701,0.010021583928274945,0.5962145110410094,0.789694835680751,5.351209253417455,13.208333333333334,8.84580487513086,0.4069400630914827,0.4332281808622503,2.438340807174888,3.736111111111111,1.0799158780231335
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_040,1000,953,58,85.42086678286606,0.008551059458410856,0.5718782791185729,0.7878103044496488,5.145855194123819,16.43103448275862,14.490320275565551,0.4218258132214061,0.4522560335781742,2.8432671081677703,4.017241379310345,1.0818467995802727
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_041,1000,962,49,89.66506887504808,0.008975837279687435,0.5613305613305614,0.7771263035921206,5.048856548856548,19.632653061224488,15.351253192945494,0.4313929313929314,0.4792099792099792,2.8287895310796074,4.63265306122449,1.104989604989605
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_042,1000,939,67,75.42068295980248,0.00755010888051754,0.5516506922257721,0.8045238095238094,5.207667731629393,14.014925373134329,8.625703583352703,0.40894568690095845,0.4579339723109691,2.5382022471910113,4.223880597014926,1.073482428115016
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_043,1000,928,79,94.47458382877527,0.009457649815868765,0.5689655172413793,0.7805428226779252,5.077586206896552,11.746835443037975,10.340369890833218,0.41594827586206895,0.4482758620689655,2.652073732718894,3.4177215189873418,1.0862068965517242
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_044,1000,948,66,108.68984671259948,0.01088046195179982,0.5527426160337553,0.7617667844522968,5.0548523206751055,14.363636363636363,9.69322844494807,0.439873417721519,0.4578059071729958,2.588826815642458,4.196969696969697,1.080168776371308
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_045,1000,942,64,86.45831924666766,0.008655019843821566,0.5934182590233545,0.7976986951364176,5.426751592356688,14.71875,12.424105538729942,0.4033970276008493,0.4447983014861996,2.789237668161435,3.90625,1.0636942675159236
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_046,1000,953,62,88.43779350347772,0.008853069034539314,0.5928646379853095,0.7849648711943794,5.175236096537251,15.370967741935484,9.461695051999083,0.4260230849947534,0.4627492130115425,2.745011086474501,4.145161290322581,1.1070304302203569
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_047,1000,972,36,98.18117156937458,0.009828228503134098,0.5668724279835391,0.7831844215349371,5.367283950617284,27.0,19.661016137411504,0.42901234567901236,0.4742798353909465,3.061571125265393,5.305555555555555,1.0843621399176955
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_048,1000,953,48,88.48183622932606,0.008857477933460898,0.5886673662119623,0.8066510538641688,5.473242392444911,19.854166666666668,18.265392576460606,0.41028331584470096,0.43441762854144805,3.109170305676856,4.104166666666667,1.1028331584470095
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_049,1000,924,57,88.196435599033,0.00882919897004404,0.566017316017316,0.7963878787878789,5.365800865800866,16.210526315789473,11.158722246706029,0.3961038961038961,0.4318181818181818,2.6083995459704883,4.017543859649122,1.0811688311688312
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_050,1000,924,72,94.24017540900658,0.0094342277440869,0.5822510822510822,0.7808363636363637,5.378787878787879,12.833333333333334,12.439855304624729,0.40476190476190477,0.43506493506493504,2.556712962962963,3.4722222222222223,1.091991341991342
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_051,1000,933,83,91.69558719294558,0.009179397301611398,0.5894962486602358,0.7949040767386092,5.337620578778135,11.240963855421686,10.135931981977379,0.4115755627009646,0.4480171489817792,2.4953917050691246,3.4819277108433737,1.0889603429796355
